aa AFR
ab ABK
abq ABA
ach ACH
ada DNG
ady ADY
af AFK
aii SWA
aio AIO
aiw ARI
ak TWI
alt ALT
am AMH
amf HBN
an ARG
ang ANG
ar ARA
arb ARA
arn MAP
ary MOR
as ASM
ast AST
ath ATH
atv ALT
av AVR
awa AWA
ay AYM
az AZE
azb AZB
azj AZE
ba BSH
bai BML
bal BLI
ban BAN
bar BAR
bbc BBC
bci BAU
bcl BIK
bcq BCH
be BEL
bem BEM
ber BBR
bfq BAD
bft BLT
bfy BAG
bg BGR
bgc BGC
bgq BGQ
bhb BHI
bhk BIK
bho BHO
bi BIS
bik BIK
bin EDO
bjj BJJ
bjt BLN
bla BKF
ble BLN
blk BLK
bln BIK
bm BMB
bn BEN
bo TIB
bpy BPY
bqi LRC
br BRE
bra BRI
brh BRH
brx BRX
bs BOS
btb BTI
bto BIK
bts BTS
bug BUG
bxr RBU
byn BIL
ca CAT
cbk CBK
ce CHE
ceb CEB
cgg CGG
ch CHA
cho CHO
chp CHP
chr CHR
chy CHY
ckb KUR
ckt CHK
cop COP
cr CRE
crh CRT
crj ECR
crl ECR
crm MCR
crx CRR
cs CSY
csb CSB
ctg CTG
cts BIK
cu CSL
cv CHU
cwd DCR
cy WEL
da DAN
dap NIS
dar DAR
de DEU
dgo DGO
dhd MAW
din DNK
diq DIQ
dje DJR
dng DUN
doi DGR
dsb LSB
dv DIV
dyu JUL
dz DZN
ee EWE
efi EFI
ekk ETI
el ELL
emk MNK
en ENG
eo NTO
eot BTI
es ESP
et ETI
eu EUQ
eve EVN
evn EVK
fa FAR
ff FUL
fi FIN
fil PIL
fj FJI
fo FOS
fon FON
fr FRA
frc FRC
frp FRP
fur FRL
fuv FUV
fy FRI
ga IRI
gaa GAD
gag GAG
gbm GAW
gd GAE
gez GEZ
ggo GON
gl GAL
gld NAN
glk GLK
gn GUA
gno GON
gog GOG
gon GON
grt GRO
gru SOG
gu GUJ
guc GUC
guk GMZ
guz GUZ
gv MNX
ha HAU
har HRI
haw HAW
hay HAY
haz HAZ
he IWR
hi HIN
hil HIL
hnd HND
hne CHH
hno HND
ho HMO
hoc HO
hoj HAR
hr HRV
hsb USB
ht HAI
hu HUN
hy HYE
hz HER
ia INA
ibb IBB
id IND
ie ILE
ig IBO
igb EBI
ijc IJO
ijo IJO
ik IPK
ilo ILO
inh ING
io IDO
is ISL
it ITA
iu INU
ja JAN
jam JAM
jbo JBO
jv JAV
ka KAT
kaa KRK
kab KAB0
kam KMB
kar KRN
kbd KAB
kde KDE
kdr KRM
kdt KUY
kex KKN
kfr KAC
kfy KMN
kg KON0
kha KSI
khb XBD
kht KHN
khw KHW
ki KIK
kj KUA
kjh KHA
kjp KJP
kk KAZ
kl GRN
kln KAL
km KHM
kmb MBN
kmw KMO
kn KAN
knn KOK
ko KOR
koi KOP
kok KOK
kpe KPL
kpv KOZ
kpy KYK
kqy KRT
kr KNR
kri KRI
krl KRL
kru KUU
ks KSH
ksh KSH0
ksw KSW
ku KUR
kum KUM
kv KOM
kvd KUI
kw COR
kxc KMS
kxu KUI
ky KIR
kyu KYU
la LAT
lad JUD
lb LTZ
lbe LAK
lbj LDK
