aa AFR
aae SQI
aao ARA
aat SQI
ab ABK
abh ARA
abq ABA
abv ARA
acf FAN
acm ARA
acq ARA
acw ARA
acx ARA
acy ARA
ada DNG
adf ARA
ady ADY
aeb ARA
aec ARA
af AFK
afb ARA
ahg AGW
aii SWA
aiw ARI
ajp ARA
ak TWI
aln SQI
als SQI
alt ALT
alw KEB
am AMH
amf HBN
apc ARA
apd ARA
ar ARA ary MOR syrc GAR
arb ARA syrc GAR
arn MAP
arq ARA
ars ARA
ary MOR
arz ARA
as ASM
ath ATH
atj RCR
atv ALT
auz ARA
av AVR
avl ARA
awa AWA
awn AGW
ay AYM
ayc AYM
ayh ARA
ayl ARA
ayn ARA
ayp ARA
ayr AYM
az AZE
azb AZE
azj AZE
ba BSH
bai BML
bal BLI
bbz ARA
bcc BLI
bci BAU
bcl BIK
bcq BCH
be BEL
beb BTI
bem BEM
ber BBR
bfq BAD
bft BLT
bfu LAH
bfy BAG
bg BGR
bgn BLI
bgp BLI
bgq RAJ
bhb BHI
bhk BIK
bho BHO
bhr MLG
bik BIK
bin EDO
bjn MLY
bjq MLG
bjt BLN
bla BKF
ble BLN
bln BIK
bm BMB
bmm MLG
bn BEN
bo TIB
br BRE
bra BRI
brh BRH
bs BOS
btb BTI
btj MLY
bto BIK
bum BTI
bve MLY
bvu MLY
bxk LUH
bxp BTI
bxr RBU
byn BIL
bzc MLG
ca CAT
caf CRR
cdo ZHS hans ZHS latn ZHP hk ZHH hant ZHT mo ZHT tw ZHT
ce CHE
ceb CEB
cfm HAL
chp CHP
chr CHR
ciw OJB
cjy ZHS hans ZHS latn ZHP hk ZHH hant ZHT mo ZHT tw ZHT
ckb KUR
ckt CHK
cld SYR
cmn ZHS hans ZHS latn ZHP hk ZHH hant ZHT mo ZHT tw ZHT
co COS
coa MLY
cop COP
cpx ZHS hans ZHS latn ZHP hk ZHH hant ZHT mo ZHT tw ZHT
cr CRE
crh CRT
crj ECR
crk YCR
crl ECR
crm MCR
crx CRR
cs CSY
csw NCR
cts BIK
cu CSL
cv CHU
cwd DCR
cy WEL
czh ZHS hans ZHS latn ZHP hk ZHH hant ZHT mo ZHT tw ZHT
czo ZHS hans ZHS latn ZHP hk ZHH hant ZHT mo ZHT tw ZHT
da DAN
dap NIS
dar DAR
de DEU
dgo DGR
dhd MAW
dib DNK
dik DNK
din DNK
dip DNK
diw DNK
dje DJR
dks DNK
dng DUN
doi DGR
dsb LSB
dty NEP
dup MLY
dv DIV
dyu JUL
dz DZN
ee EWE
efi EFI
ekk ETI
el ELL polyton PGR
emk MNK
en ENG
enb KAL
eo NTO
es ESP
et ETI
eto BTI
eu EUQ
eve EVN
evn EVK
ewo BTI
eyo KAL
fa FAR
fan BTI
fat TWI
fbl BIK
ff FUL
ffm FUL
fi FIN
fil PIL
fj FJI
fo FOS
fon FON
fr FRA
fub FUL
fuc FUL
fue FUL
fuf FTA
fuh FUL
fui FUL
fuq FUL
fur FRL
fuv FUL
fy FRI
ga IRI latg IRT
gaa GAD
gag GAG
gan ZHS hans ZHS latn ZHP hk ZHH hant ZHT mo ZHT tw ZHT
gax ORO
gaz ORO
gbm GAW
gcf FAN
gd GAE
gda RAJ
gez GEZ
ggo GON
gju RAJ
gkp KPL
gl GAL
gld NAN
gn GUA
gno GON
gnw GUA
gom KOK
gon GON
grt GRO
gru SOG
gsw ALS
gu GUJ
gug GUA
gui GUA
guk GMZ
gun GUA
guz KIS
gv MNX
ha HAU
hae ORO
hak ZHS hans ZHS latn ZHP hk ZHH hant ZHT mo ZHT tw ZHT
har HRI
haw HAW
he IWR
hi HIN
hil HIL
hji MLY
hnd HND
hne CHH
hno HND
hoc HO
hoj HAR
hr HRV
hsb USB
hsn ZHS hans ZHS latn ZHP hk ZHH hant ZHT mo ZHT tw ZHT
ht HAI
hu HUN
hy HYE
id IND
ida LUH
ig IBO
igb EBI
ii YIM
ijc IJO
ijo IJO
ike INU
ikt INU
ilo ILO
inh ING
is ISL
it ITA
iu INU
ja JAN
jak MLY
jax MLY
jpa PAA
jv JAV
ka KAT geok KGE
kaa KRK
kam KMB
kar KRN
kbd KAB
kby KNR
kca KHK
kdr KRM
kdt KUY
kex KKN
kfa KOD
kfr KAC
kfx KUL
kfy KMN
kha KSI
khb XBD
khk MNG
khw KHW
ki KIK
kjh KHA
kk KAZ
kl GRN
kln KAL
km KHM
kmb MBN
kmr KUR
kmw KMO
kn KAN
knc KNR
knn KOK
ko KOR
koi KOP
kok KOK
kpe KPL
kpv KOZ
kpy KYK
kqy KRT
kr KNR
krc KAR
kri KRI
krl KRL
krt KNR
kru KUU
ks KSH
ktu KON
ku KUR
kum KUM
kvb MLY
kvr MLY
kxc KMS
kxd MLY
kxu KUI
ky KIR
la LAT
lad JUD
lae LAH
lb LTZ
lbe LAK
lbf LAH
lbj LDK
lbl BIK
lce MLY
lcf MLY
lez LEZ
lg LUG
lif LMB
liw MLY
lkb LUH
lko LUH
lks LUH
lld LAD
lmn LAM
ln LIN
lo LAO
lri LUH
lrm LUH
lsm LUH
lt LTH
ltg LVI
lto LUH
lts LUH
lu LUB
lua LUB
luo LUO
lus MIZ
luy LUH
lv LVI
lvs LVI
lwg LUH
lzh ZHS hans ZHS latn ZHP hk ZHH hant ZHT mo ZHT tw ZHT
lzz LAZ
mai MTH
man MNK
max MLY
mct BTI
mdf MOK
mdy MLE
men MDE
meo MLY
mfa MLY
mfb MLY
mg MLG
mhr LMA
mi MRI
min MLY
mk MKD
mku MNK
ml MLR
mlq MLN
mn MNG
mnc MCH
mni MNI
mnk MND
mnp ZHS hans ZHS latn ZHP hk ZHH hant ZHT mo ZHT tw ZHT
mns MAN
mnw MON
mo MOL
moh MOH
mpe MAJ
mqg MLY
mr MAR
mrj HMA
ms MLY
msc MNK
msh MLG
msi MLY
mt MTS
mtr MAW
mui MLY
mup RAJ
mve MAW
mvf MNG
mwk MNK
mwr MAW
my BRM
mym MEN
myq MNK
myv ERZ
nag NAG
nan ZHS hans ZHS latn ZHP hk ZHH hant ZHT mo ZHT tw ZHT
nb NOR
nd NDB
ne NEP
new NEW
ng NDG
ngl LMW
nhd GUA
niq KAL
niu NIU
niv GIL
njz NIS
nl NLD
nle LUH
nn NYN
no NOR
nod NTA
nog NOG
npi NEP
nqo NKO
nr NDB
nsk NAS
nso SOT
ny CHI
nyd LUH
nyn NKL
oc OCI
oj OJB
ojb OJB
ojc OJB
ojg OJB
ojs OCR
ojw OJB
oki KAL
okm KOH
om ORO
or ORI
orc ORO
orn MLY
ors MLY
ory ORI
os OSS
otw OJB
pa PAN
pbt PAS
pbu PAS
pce PLG
pel MLY
pes FAR
pga ARA
pi PAL
pko KAL
pl PLK
pll PLG
plp PAP
plt MLG
pro PRO
prs DRI
ps PAS
pse MLY
pst PAS
pt PTG
rag LUH
raj RAJ
rbb PLG
rbl BIK
ria RIA
rki ARK
rm RMS
rmc ROY
rmf ROY
rml ROY
rmn ROY
rmo ROY
rmw ROY
rmy ROY
rmz ARK
ro ROM
rom ROY
ru RUS
rue RSY
rw RUA
rwr MAW
sa SAN
sah YAK
sam PAA
sat SAT
sck SAD
scs SLA
sd SND
sdh KUR
se NSM
seh SNA
sel SEL
sg SGO
sgc KAL
sgw CHG
shn SHN
shu ARA
si SNH
sid SID
sjd KSM
sjo SIB
sk SKY
skg MLG
skr SRK
sl SLV
sm SMO
sma SSM
smj LSM
smn ISM
sms SKS
snk SNK
so SML
spv ORI
spy KAL
sq SQI
sr SRB
srr SRR
ss SWZ
ssh ARA
st SOT
stv SIG
suq SUR
sv SVE
sva SVA
sw SWK
swb CMR
swc SWK
swh SWK
swv MAW
syr SYR
ta TAM
tab TAB
tbq QIN
tcy TUL
tdx MLG
te TEL
tec KAL
tem TMN
tg TAJ
tgj NIS
th THA
ti TGY
tig TGR
tk TKM
tkg MLG
tmw MLY
tn TNA
to TGN
toi TNG
tr TRK
tru TUA
ts TSG
tt TAT
tuy KAL
tw TWI
txy MLG
ty THT
tyv TUV
ubl BIK
udm UDM
ug UYG
uk UKR
unr MUN
ur URD
urk MLY
uz UZB
uzn UZB
uzs UZB
ve VEN
vi VIT
vkk MLY
vkt MLY
vls FLE
vmw MAK
vro ETI
wbm WA
wbr WAG
wlc CMR
wle SIG
wni CMR
wo WLF
wry MAW
wuu ZHS hans ZHS latn ZHP hk ZHH hant ZHT mo ZHT tw ZHT
xal KLM mong TODO
xan SEK
xh XHS
xmm MLY
xmv MLG
xmw MLG
xnr DGR
xpe KPL
xsl SSL
xwo TOD
ydd JII
yi JII
yih JII
yo YBA
yrk TNE
yue ZHS hans ZHS latn ZHP hk ZHH hant ZHT mo ZHT tw ZHT
zdj CMR
zh ZHS hans ZHS latn ZHP hk ZHH hant ZHT mo ZHT tw ZHT
zlm MLY
zmi MLY
zne ZND
zsm MLY
zu ZUL
